# Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
# vi: set noexpandtab tabstop=23:
# pos are taken from jmdict except for `raw` - piece of original text
# reason - particular deinflection marker
# suffix | new suffix | source pos | new pos | reason
# Test set:
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%D9%FA%A4%E1%A4%EB_v1
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B8%E2%A4%EC%A4%EB_v1-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%AB%A4%D6_v5b
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%C4%A4%B0_v5g
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%F5%A4%AF_v5k
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B9%D4%A4%AF_v5k-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B9%EF%A4%E0_v5m
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%BB%E0%A4%CC_v5n
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%BB%EA%A4%EB_v5r
# v5aru: https://en.wiktionary.org/wiki/%E3%81%84%E3%82%89%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B#Conjugation
# v5r-i: https://en.wiktionary.org/wiki/%E6%9C%89%E3%82%8B#Conjugation
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%F0%E4%A4%B9_v5s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B0%E9%A4%C4_v5t
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C0%EA%A4%A6_v5u
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C0%C1%A4%A6_v5u-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%CD%E8%A4%EB_vk
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C9%BD%A4%B9%A4%EB_vs-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%CA%AA%A4%C8%A4%B9%A4%EB_vs-i
# Consider 間違いありません. It's somewhat irregular adj-i
ありませんでした	なかった	raw	raw	polite
いませんでした	う	raw	v5u|v5u-s|v5aru	polite past negative
きませんでした	く	raw	v5k|v5k-s	polite past negative
きませんでした	くる	raw	vk	polite past negative
ぎませんでした	ぐ	raw	v5g	polite past negative
しませんでした	す	raw	v5s	polite past negative
しませんでした	する	raw	vs-i|vs-s	polite past negative
ちませんでした	つ	raw	v5t	polite past negative
にませんでした	ぬ	raw	v5n	polite past negative
びませんでした	ぶ	raw	v5b	polite past negative
みませんでした	む	raw	v5m	polite past negative
りませんでした	る	raw	v5r|v5r-i	polite past negative
ありません	ない	raw	adj-i	polite
ませんでした	る	raw	v1|v1-s|vk	polite past negative
いましょう	う	raw	v5u|v5u-s|v5aru	polite volitional
きましょう	く	raw	v5k|v5k-s	polite volitional
きましょう	くる	raw	vk	polite volitional
ぎましょう	ぐ	raw	v5g	polite volitional
しましょう	す	raw	v5s	polite volitional
しましょう	する	raw	vs-i|vs-s	polite volitional
ちましょう	つ	raw	v5t	polite volitional
にましょう	ぬ	raw	v5n	polite volitional
びましょう	ぶ	raw	v5b	polite volitional
みましょう	む	raw	v5m	polite volitional
りましょう	る	raw	v5r|v5r-i	polite volitional
いません	う	raw	v5u|v5u-s|v5aru	polite negative
かったら	い	raw	adj-i	-tara
かったり	い	raw	adj-i	-tari
きません	く	raw	v5k|v5k-s	polite negative
きません	くる	raw	vk	polite negative
ぎません	ぐ	raw	v5g	polite negative
こさせる	くる	v1|v1-s	vk	causative
こられる	くる	v1|v1-s	vk	potential or passive
しません	す	raw	v5s	polite negative
しません	する	raw	vs-i|vs-s	polite negative
ちません	つ	raw	v5t	polite negative
にません	ぬ	raw	v5n	polite negative
びません	ぶ	raw	v5b	polite negative
ましょう	る	raw	v1|v1-s|vk	polite volitional
みません	む	raw	v5m	polite negative
りません	る	raw	v5r|v5r-i	polite negative
いちゃう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
いちまう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
きちゃう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
きちまう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
しちゃう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
しちまう	てしまう	v5u|v5u-s	v5u|v5u-s	colloquial
