# upos1	upos2	upos3	upos4	jpos	mapped	[ent_seq of first appearance]
補助記号	*	*	*	unc	True
補助記号	*	*	*	n	True
連体詞	*	*	*	adj-f	True
副詞	*	*	*	adv	True

名詞	*	*	*	n	True
名詞	*	*	*	pref	False

動詞	*	*	*	v1	True
動詞	*	*	*	v1-s	True
動詞	*	*	*	v5aru	True
動詞	*	*	*	v5b	True
動詞	*	*	*	v5g	True
動詞	*	*	*	v5k	True
動詞	*	*	*	v5k-s	True
動詞	*	*	*	v5m	True
動詞	*	*	*	v5n	True
動詞	*	*	*	v5r	True
動詞	*	*	*	v5r-i	True
動詞	*	*	*	v5s	True
動詞	*	*	*	v5t	True
動詞	*	*	*	v5u	True
動詞	*	*	*	v5u-s	True
動詞	*	*	*	v5uru	True
動詞	*	*	*	vs-s	True
動詞	*	*	*	vs-i	True
動詞	*	*	*	int	False

形状詞	*	*	*	adj-na	True
形状詞	*	*	*	adj-pn	False

動詞	*	*	*	exp	False

形容詞	*	*	*	adj-i	True
形容詞	*	*	*	n	False

代名詞	*	*	*	n	False
代名詞	*	*	*	pn	True
代名詞	*	*	*	exp	False

感動詞	*	*	*	int	True
感動詞	*	*	*	n	True
感動詞	*	*	*	adj-pn	False

連体詞	*	*	*	adj-pn	True
連体詞	*	*	*	int	False

接頭辞	*	*	*	pref	True
名詞	普通名詞	副詞可能	*	adv	True	1001010
感動詞	フィラー	*	*	n-pref	False	2759530
感動詞	一般	*	*	n-pref	False	2759530
代名詞	*	*	*	n-pref	False	2759530
名詞	普通名詞	一般	*	n-pref	False	2759530
記号	文字	*	*	n	True	2594000
助詞	格助詞	*	*	prt	True	2029000
名詞	普通名詞	*	*	prt	False	2085890
名詞	固有名詞	*	*	adj-na	False	1002520
名詞	普通名詞	一般	*	n-suf	True	1270530
助詞	*	*	*	prt	True	1002800
副詞	*	*	*	adv-to	True	1002860
接続詞	*	*	*	prt	True	1002980
動詞	一般	*	*	n	False	1002990
形状詞	一般	*	*	n	False	2439650
副詞	*	*	*	n	False	1003340
接尾辞	動詞的	*	*	n	False	1003340
形状詞	タリ	*	*	adj-t	True	1591460
副詞	*	*	*	n-adv	True	1578110
接続詞	*	*	*	n	False	2447510
名詞	固有名詞	人名	*	num	False	1280050
接尾辞	名詞的	一般	*	suf	True	2085750
接尾辞	名詞的	一般	*	n-suf	True	2414430
接頭辞	*	*	*	n	True	2414470
接尾辞	名詞的	一般	*	n	True	2679630
名詞	普通名詞	一般	*	n-t	True	1004710
名詞	普通名詞	一般	*	suf	True	1004950
助詞	終助詞	*	*	int	True	1005110
助動詞	*	*	*	aux-v	True	2568020
感動詞	一般	*	*	adv	False	1005190
接続詞	*	*	*	int	True	1005240
名詞	普通名詞	一般	*	num	False	2747950
名詞	数詞	*	*	num	True	2747950
名詞	普通名詞	一般	*	n-adv	True	1590300
接尾辞	名詞的	助数詞	*	ctr	True	2077160
名詞	普通名詞	一般	*	ctr	False	2833466
名詞	固有名詞	人名	*	ctr	False	2833466
副詞	*	*	*	ctr	False	2833466
接尾辞	名詞的	一般	*	ctr	False	2833466
代名詞	*	*	*	int	False	2216210
接尾辞	*	*	*	n-suf	True	1007480
助詞	副助詞	*	*	n	False	1007630
助動詞	*	*	*	n	False	1007750
名詞	普通名詞	サ変可能	*	num	False	2748010
副詞	*	*	*	num	False	2748010
名詞	普通名詞	一般	*	aux	True	2575620
名詞	普通名詞	一般	*	adj-na	False	2833090
副詞	*	*	*	adj-na	False	2833090
接尾辞	形状詞的	*	*	suf	True	1008020
副詞	*	*	*	prt	False	1008120
助詞	格助詞	*	*	n	False	2029780
助動詞	*	*	*	conj	False	1008530
副詞	*	*	*	pref	False	2252690
助詞	接続助詞	*	*	pref	False	2252690
副詞	*	*	*	int	False	2255350
名詞	普通名詞	一般	*	int	False	2255350
形状詞	一般	*	*	adv	True	2836914
動詞	非自立可能	*	*	aux	True	1009470
動詞	一般	*	*	conj	False	1009470
接続詞	*	*	*	conj	True	2836540
副詞	*	*	*	conj	True	1010120
名詞	普通名詞	副詞可能	*	n-adv	True	1602120
名詞	普通名詞	一般	*	adj-no	True	1011170
副詞	*	*	*	vs	True	1012370
接尾辞	*	*	*	suf	True	1012440
助動詞	*	*	*	adj-i	False	1013240
動詞	*	*	*	unc	False	1013350
名詞	普通名詞	一般	*	adj-f	True	1014110
名詞	普通名詞	形状詞可能	*	adj-na	True	1014250
名詞	普通名詞	一般	*	unc	True	1016550
感動詞	フィラー	*	*	adv	True	1631600
名詞	普通名詞	一般	*	vs	False	1016730
名詞	固有名詞	*	*	n-pr	True	1025660
名詞	固有名詞	*	*	adv	False	1029450
名詞	普通名詞	一般	*	adv-to	False	2107080
名詞	固有名詞	*	*	adv-to	False	1564170
名詞	固有名詞	人名	*	suf	False	1992130
名詞	普通名詞	サ変形状詞可能	*	adj-na	False	1053760
名詞	普通名詞	副詞可能	*	adj-na	False	2835807
接頭辞	*	*	*	adj-na	False	2835807
名詞	普通名詞	一般	*	pn	True	1445640
副詞	*	*	*	suf	False	2201000
名詞	普通名詞	*	*	vi	False	1077100
副詞	*	*	*	n-suf	False	2161820
